trait	collection_date	location	longitude	latitude
CHIKV_RUN_S26b77_2025	2025-03-24	REU.4.8_1	55.497748	-21.275272
CHIKV_RUN_S25b82_2025	2025-03-24	REU.2.3_1	55.399989	-20.920397
CHIKV_RUN_S26b64_2025	2025-03-24	REU.4.4_1	55.561979	-21.353095
CHIKV_RUN_S25b84_2025	2025-03-24	REU.4.8_1	55.481382	-21.286126
CHIKV_RUN_S25b86_2025	2025-03-24	REU.4.8_1	55.469089	-21.282404
CHIKV_RUN_S25b88_2025	2025-03-24	REU.3.1_1	55.373871	-21.266454
CHIKV_RUN_S26b51_2025	2025-03-24	REU.4.4_1	55.57028	-21.35237
CHIKV_RUN_S26b57_2025	2025-03-24	REU.2.2_1	55.302173	-20.941665
CHIKV_RUN_S26b61_2025	2025-03-24	REU.2.1_1	55.337222	-20.943686
CHIKV_RUN_S26b58_2025	2025-03-24	REU.4.6_1	55.412982	-21.283275
CHIKV_RUN_S26b66_2025	2025-03-24	REU.3.5_1	55.286858	-20.993365
CHIKV_RUN_S25b87_2025	2025-03-24	REU.4.4_1	55.566791	-21.348393
CHIKV_RUN_S26b74_2025	2025-03-24	REU.2.3_1	55.428183	-20.888875
CHIKV_RUN_S25b73_2025	2025-03-24	REU.4.6_1	55.405223	-21.27357
CHIKV_RUN_S25b28_2025	2025-03-24	REU.2.3_1	55.48949	-20.900664
CHIKV_RUN_S25b83_2025	2025-03-24	REU.4.3_1	55.523188	-21.273684
CHIKV_RUN_S25b75_2025	2025-03-24	REU.2.3_1	55.489422	-20.897404
CHIKV_RUN_S25b90_2025	2025-03-24	REU.4.8_1	55.484644	-21.325466
CHIKV_RUN_S26b81_2025	2025-03-24	REU.2.3_1	55.473772	-20.902862
CHIKV_RUN_S26b78_2025	2025-03-24	REU.4.4_1	55.544254	-21.36026
CHIKV_RUN_S26b50_2025	2025-03-24	REU.2.3_1	55.448275	-20.89179
CHIKV_RUN_S25b68_2025	2025-03-24	REU.4.8_1	55.486672	-21.256267
CHIKV_RUN_S26b55_2025	2025-03-24	REU.4.7_1	55.715351	-21.370847
CHIKV_RUN_S26b59_2025	2025-03-24	REU.4.3_1	55.494352	-21.244688
CHIKV_RUN_S26b95_2025	2025-03-25	REU.2.3_1	55.489626	-20.925325
CHIKV_RUN_S28b90_2025	2025-03-25	REU.4.3_1	55.526974	-21.269196
CHIKV_RUN_S26b75_2025	2025-03-25	REU.2.3_1	55.423646	-20.877959
CHIKV_RUN_S30b65_2025	2025-03-25	REU.3.4_1	55.314846	-21.220235
CHIKV_RUN_S28b77_2025	2025-03-25	REU.4.8_1	55.487577	-21.273709
CHIKV_RUN_S26b94_2025	2025-03-25	REU.2.3_1	55.482062	-20.918537
CHIKV_RUN_S30b66_2025	2025-03-25	REU.4.8_1	55.510124	-21.351051
CHIKV_RUN_S28b35_2025	2025-03-25	REU.3.2_1	55.339988	-21.238196
CHIKV_RUN_S26b62_2025	2025-03-25	REU.2.3_1	55.493844	-20.900095
CHIKV_RUN_S26b32_2025	2025-03-25	REU.4.5_1	55.594556	-21.370943
CHIKV_RUN_S28b39_2025	2025-03-25	REU.4.8_1	55.470373	-21.280406
CHIKV_RUN_S28b38_2025	2025-03-25	REU.4.5_1	55.631347	-21.37291
CHIKV_RUN_S28b40_2025	2025-03-25	REU.4.8_1	55.471427	-21.29194
CHIKV_RUN_S28b84_2025	2025-03-25	REU.2.1_1	55.325103	-20.959596
CHIKV_RUN_S26b83_2025	2025-03-25	REU.1.1_1	55.690717	-21.000927
CHIKV_RUN_S28b62_2025	2025-03-25	REU.3.2_1	55.333873	-21.24543
CHIKV_RUN_S28b70_2025	2025-03-26	REU.4.3_1	55.53777	-21.258931
CHIKV_RUN_S28b49_2025	2025-03-26	REU.4.6_1	55.410915	-21.2886
CHIKV_RUN_S28b56_2025	2025-03-26	REU.4.8_1	55.480617	-21.282558
CHIKV_RUN_S30b17_2025	2025-03-26	REU.4.8_1	55.487626	-21.348676
CHIKV_RUN_S28b78_2025	2025-03-26	REU.4.3_1	55.559424	-21.279161
CHIKV_RUN_S28b61_2025	2025-03-26	REU.2.5_1	55.582642	-20.92677
CHIKV_RUN_S28b32_2025	2025-03-26	REU.3.5_1	55.318632	-20.997467
CHIKV_RUN_S28b50_2025	2025-03-26	REU.4.2_1	55.472409	-21.248199
CHIKV_RUN_S28b45_2025	2025-03-26	REU.4.4_1	55.565445	-21.355748
CHIKV_RUN_S28b82_2025	2025-03-26	REU.2.3_1	55.488203	-20.899173
CHIKV_RUN_S28b41_2025	2025-03-26	REU.2.2_1	55.307582	-20.934672
CHIKV_RUN_S28b88_2025	2025-03-26	REU.2.3_1	55.422853	-20.877514
CHIKV_RUN_S28b75_2025	2025-03-26	REU.2.3_1	55.464831	-20.8845
CHIKV_RUN_S28b26_2025	2025-03-26	REU.2.3_1	55.447761	-20.899867
